,index,Date,State,Residents.Initiated,Month,Year,Population_Dec2021,Residents.Initiated.Rate,Prioritization?,Date_prioritized,Phase_state,Mono.Initiated.Coverage,Days,Days_since_last
0,7252,2021-03-28,Wisconsin,680.0,3,2021,20088.0,0.0338510553564317,yes,2021-03-01,1C,0.0338510553564317,0,
1,7253,2021-04-04,Wisconsin,1380.0,4,2021,20088.0,0.06869772998805257,yes,2021-03-01,1C,0.06869772998805257,7,7.0
2,7254,2021-04-11,Wisconsin,3291.0,4,2021,20088.0,0.16382915173237753,yes,2021-03-01,1C,0.16382915173237753,14,7.0
3,7255,2021-04-18,Wisconsin,3886.0,4,2021,20088.0,0.19344882516925527,yes,2021-03-01,1C,0.19344882516925527,21,7.0
4,7256,2021-04-25,Wisconsin,6435.0,4,2021,20088.0,0.3203405017921147,yes,2021-03-01,1C,0.3203405017921147,28,7.0
5,7257,2021-05-02,Wisconsin,9531.0,5,2021,20088.0,0.47446236559139787,yes,2021-03-01,1C,0.47446236559139787,35,7.0
6,7258,2021-05-09,Wisconsin,11170.0,5,2021,20088.0,0.5560533651931502,yes,2021-03-01,1C,0.5560533651931502,42,7.0
7,7259,2021-05-16,Wisconsin,11675.0,5,2021,20088.0,0.5811927518916766,yes,2021-03-01,1C,0.5811927518916766,49,7.0
8,7260,2021-05-23,Wisconsin,12078.0,5,2021,20088.0,0.6012544802867383,yes,2021-03-01,1C,0.6012544802867383,56,7.0
9,7261,2021-05-30,Wisconsin,12406.0,5,2021,20088.0,0.6175826363998407,yes,2021-03-01,1C,0.6175826363998407,63,7.0
10,7262,2021-06-06,Wisconsin,12647.0,6,2021,20088.0,0.6295798486658701,yes,2021-03-01,1C,0.6295798486658701,70,7.0
11,7263,2021-06-13,Wisconsin,12787.0,6,2021,20088.0,0.6365491835921944,yes,2021-03-01,1C,0.6365491835921944,77,7.0
12,7264,2021-06-20,Wisconsin,13090.0,6,2021,20088.0,0.6516328156113103,yes,2021-03-01,1C,0.6516328156113103,84,7.0
13,7265,2021-06-27,Wisconsin,13075.0,6,2021,20088.0,0.6508861011549184,yes,2021-03-01,1C,,91,7.0
14,7266,2021-07-04,Wisconsin,13169.0,7,2021,20088.0,0.6555655117483075,yes,2021-03-01,1C,0.6555655117483075,98,7.0
15,7267,2021-07-11,Wisconsin,13231.0,7,2021,20088.0,0.6586519315013939,yes,2021-03-01,1C,0.6586519315013939,105,7.0
16,7268,2021-07-18,Wisconsin,13376.0,7,2021,20088.0,0.6658701712465154,yes,2021-03-01,1C,0.6658701712465154,112,7.0
17,7269,2021-07-25,Wisconsin,13494.0,7,2021,20088.0,0.6717443249701314,yes,2021-03-01,1C,0.6717443249701314,119,7.0
18,7270,2021-08-01,Wisconsin,13631.0,8,2021,20088.0,0.6785643170051773,yes,2021-03-01,1C,0.6785643170051773,126,7.0
19,7271,2021-08-08,Wisconsin,13842.0,8,2021,20088.0,0.6890681003584229,yes,2021-03-01,1C,0.6890681003584229,133,7.0
20,7272,2021-08-15,Wisconsin,13990.0,8,2021,20088.0,0.6964356829948227,yes,2021-03-01,1C,0.6964356829948227,140,7.0
21,7273,2021-08-22,Wisconsin,14122.0,8,2021,20088.0,0.7030067702110713,yes,2021-03-01,1C,0.7030067702110713,147,7.0
22,7274,2021-08-29,Wisconsin,14304.0,8,2021,20088.0,0.7120669056152927,yes,2021-03-01,1C,0.7120669056152927,154,7.0
23,7275,2021-09-05,Wisconsin,16195.0,9,2021,20088.0,0.8062027080844285,yes,2021-03-01,1C,0.8062027080844285,161,7.0
24,7276,2021-09-12,Wisconsin,16310.0,9,2021,20088.0,0.8119275189167662,yes,2021-03-01,1C,0.8119275189167662,168,7.0
25,7277,2021-09-19,Wisconsin,16588.0,9,2021,20088.0,0.8257666268418956,yes,2021-03-01,1C,0.8257666268418956,175,7.0
26,7278,2021-09-26,Wisconsin,16606.0,9,2021,20088.0,0.8266626841895659,yes,2021-03-01,1C,0.8266626841895659,182,7.0
27,7279,2021-10-03,Wisconsin,16659.0,10,2021,20088.0,0.8293010752688172,yes,2021-03-01,1C,0.8293010752688172,189,7.0
28,7280,2021-10-10,Wisconsin,16675.0,10,2021,20088.0,0.8300975706889685,yes,2021-03-01,1C,0.8300975706889685,196,7.0
29,7281,2021-10-17,Wisconsin,17495.0,10,2021,20088.0,0.8709179609717244,yes,2021-03-01,1C,0.8709179609717244,203,7.0
30,7282,2021-10-24,Wisconsin,16684.0,10,2021,20088.0,0.8305455993628037,yes,2021-03-01,1C,,210,7.0
31,7283,2021-10-31,Wisconsin,16664.0,10,2021,20088.0,0.8295499800876145,yes,2021-03-01,1C,,217,7.0
32,7284,2021-11-07,Wisconsin,16758.0,11,2021,20088.0,0.8342293906810035,yes,2021-03-01,1C,,224,7.0
33,7286,2021-11-21,Wisconsin,16647.0,11,2021,20088.0,0.8287037037037037,yes,2021-03-01,1C,,238,14.0
34,7287,2021-11-28,Wisconsin,16647.0,11,2021,20088.0,0.8287037037037037,yes,2021-03-01,1C,,245,7.0
35,7288,2021-12-05,Wisconsin,16606.0,12,2021,20088.0,0.8266626841895659,yes,2021-03-01,1C,,252,7.0
36,7289,2021-12-12,Wisconsin,16606.0,12,2021,20088.0,0.8266626841895659,yes,2021-03-01,1C,,259,7.0
37,7290,2021-12-19,Wisconsin,16562.0,12,2021,20088.0,0.8244723217841498,yes,2021-03-01,1C,,266,7.0
38,7292,2022-01-02,Wisconsin,16503.0,1,2022,20088.0,0.8215352449223416,yes,2021-03-01,1C,,280,14.0
39,7294,2022-01-16,Wisconsin,16492.0,1,2022,20088.0,0.8209876543209876,yes,2021-03-01,1C,,294,14.0
40,7296,2022-01-30,Wisconsin,16438.0,1,2022,20088.0,0.8182994822779769,yes,2021-03-01,1C,,308,14.0
41,7297,2022-02-06,Wisconsin,16392.0,2,2022,20088.0,0.8160095579450418,yes,2021-03-01,1C,,315,7.0
42,7298,2022-02-13,Wisconsin,16394.0,2,2022,20088.0,0.8161091198725607,yes,2021-03-01,1C,,322,7.0
43,7299,2022-02-20,Wisconsin,16426.0,2,2022,20088.0,0.8177021107128634,yes,2021-03-01,1C,,329,7.0
44,7300,2022-02-27,Wisconsin,16442.0,2,2022,20088.0,0.8184986061330147,yes,2021-03-01,1C,,336,7.0
45,7301,2022-03-06,Wisconsin,16391.0,3,2022,20088.0,0.8159597769812823,yes,2021-03-01,1C,,343,7.0
46,7302,2022-03-13,Wisconsin,16390.0,3,2022,20088.0,0.8159099960175229,yes,2021-03-01,1C,,350,7.0
47,7303,2022-03-20,Wisconsin,16420.0,3,2022,20088.0,0.8174034249303066,yes,2021-03-01,1C,,357,7.0
48,7304,2022-03-27,Wisconsin,16393.0,3,2022,20088.0,0.8160593389088012,yes,2021-03-01,1C,,364,7.0
49,7305,2022-04-03,Wisconsin,16381.0,4,2022,20088.0,0.8154619673436878,yes,2021-03-01,1C,,371,7.0
50,7306,2022-04-10,Wisconsin,16514.0,4,2022,20088.0,0.8220828355236958,yes,2021-03-01,1C,,378,7.0
51,7307,2022-04-17,Wisconsin,16308.0,4,2022,20088.0,0.8118279569892473,yes,2021-03-01,1C,,385,7.0
52,7308,2022-04-24,Wisconsin,16364.0,4,2022,20088.0,0.8146156909597769,yes,2021-03-01,1C,,392,7.0
53,7309,2022-05-01,Wisconsin,16287.0,5,2022,20088.0,0.8107825567502986,yes,2021-03-01,1C,,399,7.0
54,7310,2022-05-08,Wisconsin,16261.0,5,2022,20088.0,0.8094882516925528,yes,2021-03-01,1C,,406,7.0
55,7311,2022-05-15,Wisconsin,16170.0,5,2022,20088.0,0.804958183990442,yes,2021-03-01,1C,,413,7.0
56,7312,2022-05-22,Wisconsin,16100.0,5,2022,20088.0,0.8014735165272799,yes,2021-03-01,1C,,420,7.0
57,7313,2022-05-29,Wisconsin,16173.0,5,2022,20088.0,0.8051075268817204,yes,2021-03-01,1C,,427,7.0
58,7314,2022-06-05,Wisconsin,16016.0,6,2022,20088.0,0.7972919155714855,yes,2021-03-01,1C,,434,7.0
59,7315,2022-06-12,Wisconsin,16097.0,6,2022,20088.0,0.8013241736360016,yes,2021-03-01,1C,,441,7.0
60,7316,2022-06-19,Wisconsin,15997.0,6,2022,20088.0,0.7963460772600558,yes,2021-03-01,1C,,448,7.0
61,7317,2022-06-26,Wisconsin,15997.0,6,2022,20088.0,0.7963460772600558,yes,2021-03-01,1C,,455,7.0
62,7318,2022-07-03,Wisconsin,16097.0,7,2022,20088.0,0.8013241736360016,yes,2021-03-01,1C,,462,7.0
0,7102,2021-04-04,West Virginia,989.0,4,2021,4632.0,0.2135146804835924,no,,,0.2135146804835924,0,
1,7103,2021-04-11,West Virginia,1011.0,4,2021,4632.0,0.2182642487046632,no,,,0.2182642487046632,7,7.0
2,7104,2021-04-18,West Virginia,1011.0,4,2021,4632.0,0.2182642487046632,no,,,0.2182642487046632,14,7.0
3,7105,2021-04-25,West Virginia,1345.0,4,2021,4632.0,0.2903713298791019,no,,,0.2903713298791019,21,7.0
4,7106,2021-05-02,West Virginia,1345.0,5,2021,4632.0,0.2903713298791019,no,,,0.2903713298791019,28,7.0
5,7107,2021-05-09,West Virginia,1345.0,5,2021,4632.0,0.2903713298791019,no,,,0.2903713298791019,35,7.0
6,7108,2021-05-16,West Virginia,2289.0,5,2021,4632.0,0.49417098445595853,no,,,0.49417098445595853,42,7.0
7,7109,2021-05-23,West Virginia,2322.0,5,2021,4632.0,0.5012953367875648,no,,,0.5012953367875648,49,7.0
8,7110,2021-05-30,West Virginia,2336.0,5,2021,4632.0,0.5043177892918825,no,,,0.5043177892918825,56,7.0
9,7111,2021-06-06,West Virginia,2388.0,6,2021,4632.0,0.5155440414507773,no,,,0.5155440414507773,63,7.0
10,7112,2021-06-13,West Virginia,2452.0,6,2021,4632.0,0.5293609671848014,no,,,0.5293609671848014,70,7.0
11,7113,2021-06-20,West Virginia,2452.0,6,2021,4632.0,0.5293609671848014,no,,,0.5293609671848014,77,7.0
12,7114,2021-06-27,West Virginia,2497.0,6,2021,4632.0,0.5390759930915371,no,,,0.5390759930915371,84,7.0
13,7115,2021-07-04,West Virginia,2497.0,7,2021,4632.0,0.5390759930915371,no,,,0.5390759930915371,91,7.0
14,7116,2021-07-11,West Virginia,2497.0,7,2021,4632.0,0.5390759930915371,no,,,0.5390759930915371,98,7.0
15,7117,2021-07-18,West Virginia,2511.0,7,2021,4632.0,0.542098445595855,no,,,0.542098445595855,105,7.0
16,7118,2021-07-25,West Virginia,2521.0,7,2021,4632.0,0.5442573402417962,no,,,0.5442573402417962,112,7.0
17,7119,2021-08-01,West Virginia,2521.0,8,2021,4632.0,0.5442573402417962,no,,,0.5442573402417962,119,7.0
18,7120,2021-08-08,West Virginia,2584.0,8,2021,4632.0,0.5578583765112263,no,,,0.5578583765112263,126,7.0
19,7121,2021-08-15,West Virginia,2584.0,8,2021,4632.0,0.5578583765112263,no,,,0.5578583765112263,133,7.0
20,7122,2021-08-22,West Virginia,2657.0,8,2021,4632.0,0.5736183074265976,no,,,0.5736183074265976,140,7.0
21,7123,2021-08-29,West Virginia,2657.0,8,2021,4632.0,0.5736183074265976,no,,,0.5736183074265976,147,7.0
22,7124,2021-09-05,West Virginia,2716.0,9,2021,4632.0,0.5863557858376511,no,,,0.5863557858376511,154,7.0
23,7125,2021-09-12,West Virginia,2716.0,9,2021,4632.0,0.5863557858376511,no,,,0.5863557858376511,161,7.0
24,7126,2021-09-19,West Virginia,2716.0,9,2021,4632.0,0.5863557858376511,no,,,0.5863557858376511,168,7.0
25,7127,2021-09-26,West Virginia,2716.0,9,2021,4632.0,0.5863557858376511,no,,,0.5863557858376511,175,7.0
26,7128,2021-10-03,West Virginia,2716.0,10,2021,4632.0,0.5863557858376511,no,,,0.5863557858376511,182,7.0
27,7129,2021-10-10,West Virginia,2716.0,10,2021,4632.0,0.5863557858376511,no,,,0.5863557858376511,189,7.0
